city,latitude,longitude,total_bike
Flensburg,54.78341632970935,9.427374906541708,22
Herford	,52.117176995745126,8.668167641277899,17
Bayreuth,49.94196868943401,11.58606582241913,19
Dormagen,51.10538301914222,6.81888957560096,13
Kempten (Allgäu),47.72130048209491,10.318730658501355,16
Wolfsburg,52.431372269688694,10.79392905182052,18
Kaiserslautern	,49.44653681464625,7.757722556731412,18
Bremen	,53.107624052283825,8.766137862237105,162
Paderborn,51.731468739633684,8.721773797746854,27
Konstanz	,47.69547451837591,9.170121544745157,18
Remscheid	,51.18292007582497,7.215362461017767,17
Bamberg	Germany,49.89690432936911,10.881607545334608,11
Moers	,51.45479151531613,6.627279797349032,23
Münster	,51.94138996642511,7.6219305597526885,44
Chemnitz,50.83116097421721,12.906242747214975,48
Aachen	,50.77193075829588,6.1018233765987855,51
Braunschweig	,52.25988494216611,10.541352452959504,51
Böblingen	,48.676272437793344,9.0074605703789,3
Gladbeck	,51.570474376386116,6.988434569439508,19
Mainz	,49.98708014713849,8.258955363975563,24
Hamm	,51.67759622156697,7.799447513439778,43
Dortmund	,51.51171642094077,7.47209114451419,158
Bad Salzuflen,52.07155944985938,8.731834813106651,11
Koblenz	,50.35781249107255,7.596805086590965,26
Velbert	,51.34022954436576,7.061245045262735,14
Bocholt	,51.839805143781696,6.632512490654483,7
Garbsen,52.43444376023838,9.605956511768685,9
Magdeburg,52.119194568453786,11.624426312145818,83
Herne	,51.52853737402485,7.197051156016269,50
Lippstadt	,51.672576375034694,8.341830974371462,8
Reutlingen	,48.49436394210556,9.196304451664055,17
Ludwigsburg,48.90077082900524,9.195511860245684,30
Zwickau	,50.722603325902966,12.485166410079081,44
Gera ,50.882364667983694,12.074561080342802,18
Berlin	,52.50829042015987,13.393928232110163,703
Mannheim,49.488931770331256,8.507663271741034,53
Görlitz	,51.15340577649167,14.977655018893872,23
Hattingen,51.40472560057927,7.213901141036955,7
Lüdenscheid	,51.21838941592323,7.626027670722558,13
Neustadt an der Weinstraße,49.35071009134745,8.138210197110219,6
Hilden	,51.16875549369666,6.943653095339235,6
Plauen	,50.4955166285131,12.143349238389765,13
Pulheim	,51.00370771387499,6.787888069096647,7
Aschaffenburg,49.96919921018497,9.138115043745838,40
Göttingen,51.54031045069807,9.92887041550499,30
Bottrop	,51.54678317158219,6.928265276758106,21
Pforzheim,48.884855245648836,8.694955858747708,20
Nürnberg,49.447998032020344,11.083258996016284,72
Duisburg	,51.44947232314106,6.745727531632415,102
Hannover	,52.374293438573105,9.752956784399078,109
Hanau	,50.12754974002364,8.911260520001656,22
Düsseldorf,51.23370055242293,6.792800000304002,115
Gummersbach,51.017726828681745,7.571097411335288,10
Krefeld	,51.34370713792018,6.591880148601901,55
Ibbenbüren,52.26604645088511,7.703272985728945,6
Neumünster	,54.0816510365715,9.994177225089675,12
Ahlen	,51.758036148802724,7.899625740522958,10
Mönchengladbach	,51.17606881691705,6.432090105922457,52
